Train accuracy,Test accuracy
11.9,12.06
13.928,12.54
14.192,12.76
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
