Train accuracy,Test accuracy
48.614,52.97
57.032,62.66
65.278,68.64
66.636,72.07
70.746,75.28
74.796,79.24
77.136,79.83
77.942,81.03
80.184,81.68
81.67,83.16
82.176,83.99
83.096,84.21
85.162,85.47
84.966,85.48
83.576,84.1
87.466,86.76
87.828,87.32
88.506,87.77
87.72,86.76
87.986,86.88
89.374,87.61
88.322,87.1
89.548,88.08
90.038,88.28
90.512,88.45
90.634,88.4
91.278,88.23
91.53,88.62
91.794,88.56
91.4,87.99
91.992,88.02
92.55,89.12
92.894,89.32
92.954,89.04
93.142,88.74
93.654,89.12
93.902,89.24
92.68,88.82
94.23,88.93
94.378,89.1
94.5,88.52
95.366,89.7
94.116,88.7
94.12,89.06
95.226,89.37
95.244,89.34
95.456,89.99
95.52,89.52
95.92,88.91
96.248,89.98
97.71,91.23
98.03,91.15
98.136,91.25
98.112,90.78
98.176,91.03
98.08,90.64
98.242,91.09
98.316,90.59
97.958,90.7
98.348,90.58
98.324,90.85
98.376,90.54
98.4,90.69
98.426,90.92
98.582,90.92
98.632,90.97
98.544,90.81
98.656,90.46
98.644,91.05
98.852,90.79
98.628,90.77
98.574,90.82
98.792,90.88
98.874,90.88
98.75,90.89
98.706,90.67
98.84,90.85
98.87,90.92
98.864,90.79
98.828,90.96
98.942,91.07
98.942,90.97
98.792,91.04
98.902,90.85
98.934,91.08
98.88,90.61
98.74,90.67
99.1,91.26
99.022,90.95
99.022,91.01
98.966,90.74
98.952,90.73
99.018,90.81
99.144,90.88
99.05,90.91
98.954,90.91
99.042,91.18
99.104,90.94
99.03,90.91
98.92,90.83
99.464,91.41
99.556,91.43
99.496,91.81
99.518,91.55
99.56,91.54
99.598,91.5
99.61,91.45
99.63,91.66
99.616,91.62
99.638,91.27
99.624,91.4
99.6,91.77
99.622,91.33
99.616,91.45
99.686,91.54
99.628,91.17
99.672,91.34
99.694,91.62
99.692,91.55
99.682,91.36
99.648,91.22
99.654,91.31
99.662,91.46
99.708,91.38
99.668,91.33
99.614,91.45
99.656,91.34
99.684,91.24
99.678,91.76
99.704,91.35
99.722,91.53
99.728,91.5
99.718,91.27
99.7,91.59
99.748,91.4
99.658,91.22
99.662,91.11
99.726,91.58
99.74,91.31
99.718,91.33
99.712,91.41
99.702,91.58
99.66,91.29
99.74,91.25
99.688,91.29
99.71,91.52
99.734,91.59
99.706,91.33
99.666,91.55
99.724,91.54
99.818,91.83
99.854,91.89
99.822,91.83
99.846,91.82
99.846,91.8
99.856,91.7
99.872,91.78
99.848,91.89
99.884,91.74
99.844,91.92
99.886,91.52
99.892,91.69
99.872,91.83
99.9,91.84
99.85,91.93
99.88,91.89
99.902,91.93
99.874,91.83
99.882,91.74
99.872,91.94
99.87,91.99
99.902,91.98
99.896,91.91
99.904,92.04
99.862,91.97
99.892,91.87
99.896,91.63
99.902,91.95
99.87,91.85
99.9,91.77
99.918,91.74
99.89,91.82
99.884,91.79
99.9,91.73
99.906,91.92
99.884,91.62
99.898,91.94
99.91,91.94
99.888,91.55
99.91,91.48
99.882,91.79
99.92,92.08
99.908,91.76
99.922,91.83
99.88,91.78
99.888,91.59
99.902,91.8
99.886,91.82
99.934,91.95
99.932,91.73
99.93,91.89
99.938,92.11
99.936,91.98
99.928,91.96
99.942,92.02
99.93,91.97
99.938,91.97
99.94,92.11
99.93,91.94
99.934,91.85
99.942,91.94
99.902,91.81
99.938,91.72
99.952,91.74
99.942,91.88
99.958,91.86
99.944,92.02
99.95,91.9
99.948,91.82
99.96,92.15
99.956,91.96
99.95,91.69
99.956,91.93
99.95,91.93
99.968,92.07
99.946,92.06
99.942,92.12
99.952,92.21
99.948,92.1
99.956,92.09
99.958,92.17
99.932,92.1
99.96,92.34
99.95,92.17
99.942,92.21
99.962,92.08
99.952,91.96
99.94,91.97
99.96,91.96
99.942,92.08
99.954,91.94
99.952,91.95
99.956,91.94
99.962,92.01
99.962,91.97
99.952,91.95
99.956,91.81
99.964,91.94
99.958,91.87
99.964,91.66
99.96,91.91
99.952,91.97
99.98,91.94
99.984,91.99
99.964,92.17
99.962,92.04
99.966,92.1
99.974,92.08
99.966,92.05
99.966,92.07
99.982,92.04
99.962,92.03
99.984,92.22
99.964,92.25
99.978,92.11
99.964,92.09
99.97,92.02
99.974,92.17
99.962,92.06
99.968,92.17
99.966,92.24
99.98,92.12
99.986,92.02
99.968,91.95
99.972,92.06
99.968,92.12
99.98,92.08
99.964,92.14
99.97,92.13
99.976,92.09
99.97,92.11
99.97,92.07
99.98,92.2
99.978,92.05
99.974,92.09
99.976,92.22
99.978,91.99
99.986,92.04
99.98,92.04
99.988,92.12
99.98,92.15
99.964,92.08
99.98,92.08
99.976,92.15
99.984,92.12
99.964,91.97
99.968,92.15
99.972,92.12
99.98,92.14
99.978,92.07
99.978,92.09
99.98,92.11
99.972,92.07
99.98,92.03
99.968,92.04
99.976,91.99
99.972,92.09
99.98,91.98
99.97,92.09
99.982,92.09
99.984,91.97
99.978,91.98
99.972,92.02
99.976,91.89
99.988,92.08
99.986,92.16
99.972,92.06
99.994,92.06
99.988,92.2
99.986,92.13
99.986,92.18
99.976,92.14
99.976,92.12
99.982,92.01
99.984,92.1
99.992,92.15
99.986,92.06
99.98,92.1
99.982,92.14
99.98,92.19
99.98,91.99
99.984,92.16
99.992,92.17
99.976,92.01
99.988,92.22
99.978,92.13
99.978,92.18
99.986,92.14
99.986,92.11
99.98,92.14
99.98,92.22
99.99,92.13
99.98,92.15
99.986,92.02
99.992,92.17
