Train accuracy,Test accuracy
37.06,39.32
40.864,46.72
45.64,49.8
52.73,59.74
52.034,58.36
57.45,61.91
57.756,63.82
58.606,62.19
56.15,62.92
61.426,67.13
61.572,66.97
60.292,64.92
62.72,68.05
64.558,71.28
63.906,68.26
66.33,69.92
62.552,68.8
66.292,71.48
66.472,71.3
67.214,72.72
69.736,73.63
70.644,73.96
69.374,73.39
69.16,71.75
68.566,73.86
69.268,74.03
71.942,75.32
70.632,74.2
70.076,72.58
72.588,76.23
74.116,76.6
70.916,75.06
75.17,77.62
74.314,76.29
74.402,76.64
74.43,77.8
74.236,75.23
75.626,78.25
76.566,77.85
75.854,77.39
75.148,77.12
76.448,78.83
78.974,80.0
77.39,78.77
78.108,78.92
79.078,79.13
78.288,78.28
79.218,78.69
79.426,78.9
80.43,79.77
83.52,81.24
83.52,81.53
84.154,81.83
84.438,81.84
84.45,81.5
85.446,82.14
85.45,81.75
85.158,81.29
85.402,81.42
85.912,82.06
85.872,81.68
86.634,82.03
86.476,81.87
86.558,82.09
86.91,81.86
86.75,81.66
87.114,81.6
87.468,82.13
87.688,81.76
87.946,82.12
88.324,81.67
88.152,81.41
88.552,81.94
88.468,81.44
88.826,81.94
89.522,81.61
89.312,81.72
89.582,81.69
89.47,81.59
89.294,81.75
89.876,81.94
89.632,81.91
90.292,81.9
90.696,81.66
90.364,81.17
90.738,81.69
90.016,80.39
90.602,81.29
91.176,81.32
91.754,82.18
91.034,81.22
91.324,81.17
91.118,81.11
91.338,81.53
91.6,81.25
91.614,81.54
91.626,80.95
91.748,81.57
91.426,81.24
91.89,81.36
93.912,81.78
94.322,81.97
94.438,82.11
94.436,81.98
94.648,81.79
94.672,81.5
94.566,81.48
94.776,81.57
95.066,82.04
95.066,81.33
95.112,81.82
95.36,81.86
95.306,81.97
95.396,81.95
95.508,81.93
95.56,81.92
95.768,82.07
95.444,81.68
95.468,81.25
95.592,81.29
95.352,81.14
95.342,81.38
95.762,81.78
95.96,81.85
95.948,81.83
96.02,81.55
96.014,81.46
96.208,81.41
96.152,81.48
96.098,81.42
96.128,81.54
96.086,81.44
96.184,81.24
96.068,81.65
96.436,81.43
96.36,81.58
96.53,81.82
96.518,81.56
96.674,81.77
96.352,81.28
96.536,80.99
96.51,81.05
96.776,81.29
96.426,81.15
96.492,80.87
96.698,81.47
96.614,81.19
96.628,81.08
96.816,80.89
96.82,81.2
97.35,81.27
97.514,81.19
97.582,81.37
97.652,81.31
97.678,81.32
97.8,81.28
97.7,81.23
97.834,81.32
97.85,81.49
97.884,81.52
97.864,81.57
97.844,81.36
97.866,81.39
97.918,81.31
97.796,81.38
97.934,81.36
97.872,81.23
97.954,81.47
97.976,81.11
97.992,81.51
98.114,81.38
98.026,80.9
98.132,81.43
98.154,81.12
98.044,81.26
98.25,81.07
98.202,81.22
98.086,81.35
98.122,81.17
98.172,81.19
98.138,80.85
98.224,81.22
98.316,81.56
98.258,81.31
98.298,81.13
98.224,81.08
98.4,81.03
98.22,81.22
98.222,81.03
98.168,81.45
98.248,81.09
98.352,80.85
98.264,81.31
98.212,81.01
98.348,81.13
98.428,81.21
98.362,81.21
98.352,81.08
98.442,81.24
98.356,80.98
98.606,81.04
98.612,81.37
98.62,81.53
98.606,81.54
98.726,81.57
98.78,81.47
98.852,81.34
98.696,81.2
98.734,81.64
98.832,81.56
98.858,81.37
98.764,81.28
98.786,81.42
98.758,81.34
98.852,81.17
98.822,81.48
98.808,81.73
98.844,81.18
98.8,81.55
98.872,81.34
98.812,81.21
98.856,81.48
98.912,81.46
98.904,81.43
98.936,81.68
98.9,81.26
98.908,81.38
98.876,81.17
99.04,81.11
98.908,81.15
98.962,81.13
98.926,81.52
98.98,81.18
98.866,81.34
99.022,81.19
98.874,81.15
98.948,81.25
98.964,81.36
99.032,81.38
98.916,81.31
98.93,81.13
98.972,81.28
98.91,81.23
98.924,81.28
98.974,81.08
98.998,81.25
99.022,81.19
98.98,80.86
98.942,81.37
98.998,81.06
99.06,81.22
99.118,81.23
99.146,81.25
99.018,81.28
99.152,81.2
99.132,81.37
99.176,81.37
99.22,81.21
99.166,81.26
99.118,81.04
99.17,81.04
99.16,81.34
99.176,81.06
99.182,81.41
99.182,81.09
99.186,81.28
99.186,81.17
99.13,81.17
99.224,81.01
99.23,81.26
99.182,81.23
99.17,81.35
99.132,81.24
99.162,81.16
99.194,81.18
99.244,81.09
99.18,81.11
99.228,81.16
99.192,81.26
99.24,81.24
99.224,81.42
99.182,81.36
99.278,81.49
99.234,81.27
99.25,81.5
99.186,81.3
99.274,81.17
99.254,81.09
99.234,81.06
99.246,81.08
99.286,81.23
99.282,81.22
99.212,81.34
99.252,81.21
99.234,81.26
99.234,81.43
99.25,81.13
99.286,81.27
99.284,81.28
99.258,81.29
99.272,81.24
99.344,81.16
99.28,81.34
99.306,81.21
99.306,81.07
99.256,81.22
99.346,81.14
99.334,81.3
99.272,81.25
99.344,81.25
99.334,81.16
99.248,81.18
99.328,81.31
99.35,81.26
99.312,81.17
99.32,81.24
99.346,81.18
99.322,81.17
99.312,81.29
99.296,81.22
99.36,81.22
99.342,81.23
99.374,81.03
99.376,81.15
99.324,81.26
99.35,81.01
99.368,81.2
99.422,81.19
99.35,81.1
99.368,80.96
99.362,81.05
99.388,80.97
99.34,80.81
99.384,81.09
99.334,80.96
99.356,81.12
99.364,81.0
99.4,81.22
99.426,80.97
99.374,80.9
99.398,81.06
99.392,80.88
99.484,80.95
99.43,81.04
99.36,81.09
99.402,81.03
99.356,81.11
99.418,81.22
99.322,81.09
99.382,81.14
99.432,81.06
99.44,81.14
99.356,81.16
99.424,81.02
99.384,80.91
99.37,80.93
99.406,81.11
99.342,81.02
99.432,81.03
99.382,81.08
99.436,81.14
99.404,81.03
99.372,81.07
99.398,80.98
99.416,81.14
99.452,81.07
99.396,81.3
99.392,81.09
99.37,81.17
99.366,81.13
99.368,81.28
99.356,81.14
99.336,81.2
99.444,81.06
99.4,81.18
99.354,81.16
99.442,81.13
99.39,81.2
99.462,81.21
99.398,81.25
99.44,81.2
99.454,81.2
99.438,81.07
99.446,81.14
99.45,81.09
99.424,81.07
99.496,81.12
99.442,81.04
99.428,81.03
99.414,81.07
99.364,81.01
99.4,81.07
99.484,80.94
99.452,81.04
99.466,81.22
99.46,81.28
99.422,81.17
99.45,81.09
99.392,81.07
99.41,81.13
99.438,80.92
99.418,81.23
99.42,81.13
99.448,80.99
99.458,81.16
99.43,81.18
99.474,81.09
99.486,81.13
99.422,81.17
99.438,81.1
99.428,81.03
99.412,81.0
99.448,81.11
99.41,81.17
99.42,81.08
99.478,81.04
99.452,81.21
99.498,81.16
99.44,81.06
99.48,81.22
99.452,81.1
99.462,81.1
99.49,80.99
99.488,81.05
99.468,81.05
99.464,80.98
99.438,81.05
99.438,80.99
99.458,81.01
99.544,81.17
99.44,81.1
99.44,81.16
99.42,81.21
99.4,81.09
99.476,81.06
99.432,81.32
99.526,81.12
99.478,81.2
99.44,81.18
99.43,81.16
99.41,81.15
99.416,81.09
99.482,81.16
99.468,81.08
99.468,80.97
99.466,81.4
99.428,81.19
99.432,81.14
99.434,81.05
99.46,81.08
99.432,81.14
99.432,81.14
99.484,81.17
99.492,81.13
99.442,81.23
99.45,81.26
99.47,81.28
99.434,81.24
99.49,81.1
99.438,81.03
99.5,81.12
99.464,81.02
99.444,81.33
99.488,81.16
99.452,81.08
99.492,81.31
99.428,81.04
99.488,80.98
99.49,81.1
99.45,81.06
99.398,81.11
99.502,80.95
99.46,81.14
99.42,81.22
99.476,81.4
99.452,81.27
99.47,81.36
99.49,81.0
99.456,81.16
99.466,81.19
99.45,81.25
99.46,81.21
99.506,81.13
99.474,81.36
99.502,81.16
99.502,81.18
99.49,81.15
99.474,81.19
99.36,81.3
99.402,81.26
99.4,81.22
99.438,81.29
99.422,81.11
99.52,81.11
99.426,81.27
99.536,80.92
99.49,81.26
99.436,81.15
99.508,81.25
99.488,81.2
