Train accuracy,Test accuracy
39.02,42.4
45.44,50.11
44.214,47.01
51.55,55.75
51.858,55.59
52.858,55.37
51.434,56.11
54.306,58.72
53.134,57.4
55.69,61.72
56.672,60.91
56.416,61.09
58.612,63.53
58.296,62.68
58.862,63.65
60.178,64.23
57.37,61.44
58.872,62.63
60.126,65.28
60.192,65.03
61.212,65.3
61.358,65.35
60.636,65.23
63.15,67.11
62.134,66.51
62.864,66.92
63.02,66.13
62.274,65.36
63.45,66.97
61.836,65.73
63.226,66.7
63.892,68.03
64.104,67.96
65.104,68.98
65.116,69.27
64.128,67.63
64.428,67.54
65.104,68.67
63.148,67.87
66.366,69.09
64.128,66.96
65.51,68.93
66.202,68.98
64.896,68.24
64.458,69.4
65.818,69.13
66.802,69.98
66.448,69.82
67.048,69.64
67.764,70.65
68.926,71.29
69.112,71.04
67.848,70.89
68.826,70.66
69.306,71.43
69.688,71.82
69.934,71.79
69.608,71.1
68.702,70.93
69.558,70.9
69.834,71.8
70.4,72.34
70.176,71.76
70.436,71.89
68.054,70.89
70.228,71.35
70.098,71.97
70.74,72.3
70.922,72.45
71.26,72.71
69.994,71.76
70.552,72.53
70.912,72.4
71.546,72.37
69.652,71.26
71.02,72.22
70.926,72.31
69.372,72.8
71.004,72.73
71.726,72.83
70.776,72.27
70.9,72.74
71.116,72.47
71.52,73.01
71.712,72.84
72.104,73.34
69.658,71.44
70.694,71.43
69.296,72.85
71.942,73.18
71.172,73.16
70.372,71.83
71.458,72.82
71.906,72.16
72.66,73.42
72.354,72.56
71.958,72.42
72.278,72.96
72.228,72.33
72.716,73.29
73.182,73.3
73.556,73.54
73.448,73.78
73.052,73.79
71.864,73.11
72.446,73.34
72.976,72.65
73.22,73.5
73.606,73.52
73.938,73.94
73.804,73.54
73.438,73.8
73.628,73.44
73.576,73.96
74.238,73.85
73.71,73.57
73.716,73.98
74.65,73.51
73.974,73.82
73.538,73.9
74.298,74.27
73.378,73.58
74.14,73.9
71.89,72.74
74.33,73.99
73.586,73.78
74.16,73.26
73.738,73.31
74.25,73.8
74.554,74.02
74.362,74.99
74.662,73.87
73.984,73.83
74.434,74.06
74.998,73.92
73.756,73.59
74.65,74.22
73.93,73.69
74.2,74.12
74.424,73.64
74.1,73.59
74.88,74.41
74.33,73.95
74.84,73.63
74.704,73.86
74.182,74.48
74.5,73.6
74.496,73.25
74.282,73.88
74.186,73.44
74.588,73.84
75.224,74.18
75.77,74.31
74.74,74.1
75.18,73.93
75.188,73.21
75.506,74.01
75.162,73.96
75.568,74.23
74.998,74.03
75.392,74.24
75.886,73.89
76.104,74.84
75.864,74.64
75.152,73.67
75.954,74.25
74.702,73.53
75.584,74.34
75.606,74.44
75.534,73.85
76.374,74.73
75.972,74.08
75.43,74.63
74.896,74.62
76.198,74.08
74.998,73.49
76.008,74.3
75.31,74.33
75.448,74.21
75.602,74.22
75.724,74.31
75.686,74.55
75.364,73.95
75.316,73.83
76.192,74.73
76.308,74.28
75.738,74.01
75.88,74.16
75.866,74.04
76.622,74.43
76.316,74.56
76.208,74.32
76.078,73.98
75.97,75.16
75.716,73.99
76.724,74.36
76.184,74.65
75.644,73.9
76.416,74.52
77.034,74.55
76.928,75.1
77.332,75.23
77.064,74.82
75.362,73.76
77.21,74.5
76.548,73.9
76.638,75.19
77.082,74.55
76.566,74.35
77.18,74.6
77.536,75.35
77.306,74.85
76.98,74.99
76.5,74.54
76.29,73.92
76.752,75.08
77.36,74.92
76.536,74.1
76.794,74.96
76.93,75.2
76.812,74.76
76.268,74.35
77.704,74.23
76.464,74.18
76.606,74.34
76.622,74.31
77.024,74.35
76.532,74.39
77.242,74.22
77.366,74.61
76.366,74.48
77.324,75.2
75.472,73.62
77.096,74.78
76.062,73.63
76.092,74.42
77.748,75.08
77.824,75.25
77.264,74.66
75.782,74.16
77.548,74.25
76.966,74.35
77.468,74.84
77.256,74.34
76.234,74.5
76.884,74.24
77.878,74.21
75.27,73.7
77.59,75.02
77.236,74.52
77.724,74.59
77.428,75.15
77.874,74.73
76.19,74.03
76.424,74.31
77.174,74.51
77.912,74.91
77.6,75.09
77.696,74.87
76.88,74.79
77.424,74.5
77.796,74.49
77.844,74.79
77.032,74.69
76.296,74.41
77.932,74.92
78.064,75.37
76.994,74.54
77.788,74.82
77.866,74.81
76.5,73.95
77.09,74.13
77.642,74.51
77.436,74.96
77.394,75.23
78.292,75.26
77.816,75.36
78.018,74.39
78.308,74.96
78.3,75.1
78.1,74.99
77.658,74.44
77.85,75.0
78.192,74.92
77.274,74.85
77.294,74.06
77.898,75.17
77.506,74.32
78.47,74.98
78.11,74.96
77.912,74.57
77.332,74.82
77.886,74.76
77.662,74.66
78.5,75.01
78.112,75.3
78.688,74.55
78.184,74.89
77.712,74.78
77.814,74.48
77.888,75.18
77.95,74.86
77.248,74.71
78.316,74.84
77.93,74.81
78.454,74.88
77.984,75.04
78.36,74.7
78.766,76.0
78.942,74.89
77.618,75.14
77.914,75.21
78.01,75.12
78.006,74.7
77.71,75.39
78.218,75.05
78.006,74.5
77.792,74.67
77.978,74.81
78.114,75.22
78.378,74.78
78.064,74.69
78.348,74.69
78.726,75.52
78.25,75.02
78.542,74.99
77.546,74.45
78.166,74.77
78.314,74.96
78.206,74.62
78.522,75.03
77.698,74.79
77.948,75.09
78.59,75.39
77.816,75.13
78.41,74.79
78.422,74.48
77.468,74.51
77.816,74.27
78.242,75.15
78.336,74.65
78.312,75.53
78.576,75.39
78.24,74.75
78.072,75.04
78.776,75.24
78.532,75.03
78.268,74.81
78.916,74.96
78.496,74.78
78.222,74.82
78.776,74.77
78.34,74.56
79.204,75.41
78.316,74.66
78.242,74.99
78.068,73.9
77.386,74.67
78.64,74.89
78.316,75.5
78.634,74.7
78.216,74.74
77.766,73.96
77.516,74.76
78.52,74.83
78.08,74.63
78.516,75.17
78.342,74.73
76.246,75.35
78.402,74.7
78.154,75.09
78.834,74.52
79.174,75.36
79.076,74.79
78.876,75.9
78.368,75.01
78.072,74.8
78.494,75.36
78.514,74.59
78.76,74.93
77.754,74.69
79.052,74.92
79.064,74.94
79.03,75.03
77.468,74.72
77.922,74.34
77.906,74.55
78.432,74.78
77.442,74.31
78.132,74.85
78.298,74.87
78.484,74.2
78.638,74.93
78.816,75.3
78.71,75.23
77.612,73.61
79.222,75.0
78.264,75.07
77.948,74.55
79.29,75.18
78.338,74.29
79.008,74.97
78.946,75.3
78.19,74.53
79.01,75.6
77.864,74.5
77.922,75.02
78.592,74.56
78.644,74.82
79.128,74.9
78.938,75.05
78.044,74.74
79.162,74.83
79.078,74.95
78.332,74.65
79.322,75.6
79.126,74.9
79.076,74.91
78.254,75.13
79.096,74.83
78.276,74.72
78.612,74.88
78.404,74.57
78.858,75.06
79.23,74.94
78.208,74.74
78.882,74.91
78.392,74.59
77.558,74.25
76.922,74.4
78.796,75.0
78.814,74.91
78.662,74.85
79.02,74.86
78.746,74.98
78.41,74.85
78.678,75.47
78.15,74.84
78.786,75.01
78.878,75.09
76.938,74.52
78.07,74.13
79.008,74.77
78.448,74.95
78.08,74.43
78.54,74.69
78.85,74.7
78.95,75.3
79.126,75.2
77.998,74.5
78.906,74.92
78.69,75.11
78.35,75.14
79.398,75.02
78.212,75.45
78.69,75.21
78.28,74.25
78.188,74.66
79.342,75.12
78.834,74.87
78.6,75.29
78.922,75.04
78.284,74.63
78.456,74.68
78.986,75.1
78.61,74.81
78.708,74.83
78.746,75.29
79.448,75.14
79.044,75.35
78.916,75.06
78.742,75.23
77.974,74.91
78.362,74.35
79.38,74.71
79.068,74.84
78.884,74.99
79.232,75.8
79.054,75.13
78.898,75.38
78.87,75.37
77.74,74.1
79.238,75.31
79.004,75.27
78.712,75.07
78.428,74.92
78.32,75.46
78.388,74.85
78.376,74.34
78.592,74.62
79.112,75.03
79.628,74.99
78.286,74.49
77.796,74.1
79.006,75.44
78.924,75.4
78.844,74.15
78.638,74.88
78.722,75.16
79.012,75.33
