Train accuracy,Test accuracy
48.988,48.32
65.48,63.17
72.782,69.76
74.034,70.16
79.512,72.91
78.078,71.01
85.878,76.39
84.018,73.59
88.164,76.15
91.26,77.47
89.83,76.5
92.996,77.79
91.972,77.6
92.154,76.98
93.39,77.61
94.476,78.26
92.208,76.24
93.176,77.33
93.866,77.67
93.894,76.94
94.82,78.2
94.314,77.06
95.44,78.43
96.472,79.74
94.738,78.11
94.058,77.28
94.38,77.98
95.084,77.7
94.068,77.68
91.76,75.37
94.51,77.7
94.866,77.53
96.512,78.85
95.482,78.35
95.884,78.58
94.718,77.35
96.664,78.96
95.334,78.41
96.374,78.94
95.006,77.82
96.416,79.16
96.11,78.98
96.742,79.28
96.594,78.99
95.824,78.45
96.756,79.36
94.168,76.93
94.952,78.48
96.602,79.65
96.526,78.91
