Train accuracy,Test accuracy
93.90833333333333,93.64
95.305,94.63
96.11333333333333,95.64
96.475,95.84
96.55166666666666,95.63
96.94166666666666,96.14
97.20833333333333,96.32
97.45833333333333,96.64
97.475,96.35
97.49166666666666,96.36
97.78166666666667,96.75
97.79,96.74
97.93333333333334,96.66
98.06333333333333,96.77
97.95166666666667,96.77
98.23333333333333,96.86
98.135,96.78
98.3,96.92
98.35333333333334,96.92
98.19166666666666,96.84
98.19666666666667,96.88
98.41,96.92
98.48333333333333,96.78
98.41333333333333,96.71
98.49333333333334,97.05
