Train accuracy,Test accuracy
94.82,94.78
95.78833333333333,95.83
96.055,96.17
96.115,96.05
96.12666666666667,95.9
96.16,95.9
96.42666666666666,96.37
96.61166666666666,96.15
97.04166666666667,96.36
96.54666666666667,96.24
96.28666666666666,95.84
96.82,96.79
96.81166666666667,96.65
95.835,95.09
97.18666666666667,96.6
96.80833333333334,96.35
96.77166666666666,96.39
97.40166666666667,96.82
97.08,96.54
96.93333333333334,96.62
96.56833333333333,95.89
97.21833333333333,96.81
97.01666666666667,96.5
97.07,96.16
97.41666666666667,96.82
