Train accuracy,Test accuracy
97.13333333333334,96.61
98.00166666666667,97.19
98.45333333333333,97.73
98.64833333333333,97.73
98.03666666666666,96.96
98.75,97.37
98.11333333333333,96.7
96.84333333333333,95.31
99.09166666666667,97.77
97.485,96.06
97.60833333333333,95.83
98.31666666666666,96.68
98.195,96.6
98.17333333333333,96.67
97.98,96.3
98.89333333333333,97.11
97.01833333333333,95.49
97.55833333333334,95.61
98.53666666666666,96.52
97.21333333333334,95.37
96.89166666666667,95.14
97.93166666666667,96.23
96.87333333333333,94.89
97.145,95.23
97.11833333333334,95.21
